acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps],acc_h_x[mg],acc_h_y[mg],acc_h_z[mg]
250.344,584.624,-781.288,0.0,-1.75,-0.49,281.088,616.832,-812.032
251.32,584.136,-780.312,0.14,-1.82,-0.35,265.472,601.216,-804.224
250.832,582.184,-779.336,0.14,-2.03,-0.28,265.472,632.448,-804.224
250.832,578.28,-783.24,0.21,-1.96,-0.14,273.28,609.024,-812.032
250.832,574.864,-783.728,0.14,-2.03,-0.21,273.28,601.216,-812.032
252.784,572.912,-787.632,0.21,-1.89,-0.21,281.088,601.216,-835.456
254.248,570.96,-790.56,0.21,-2.03,-0.35,257.664,609.024,-812.032
253.76,568.52,-793.0,0.14,-2.1,-0.49,281.088,577.792,-819.84
257.176,566.568,-793.0,0.07,-2.03,-0.63,273.28,632.448,-819.84
260.104,567.544,-793.976,0.21,-2.03,-0.7,288.896,609.024,-819.84
260.592,568.032,-793.488,0.28,-1.89,-0.84,265.472,609.024,-819.84
262.056,568.52,-795.928,0.49,-1.82,-0.98,265.472,632.448,-827.648
262.056,570.472,-796.904,0.63,-1.54,-0.91,288.896,609.024,-835.456
261.568,571.448,-796.416,0.77,-1.4,-0.84,281.088,624.64,-819.84
262.056,571.936,-794.464,0.77,-1.26,-0.77,296.704,640.256,-827.648
260.592,570.472,-795.928,0.84,-1.19,-0.7,304.512,624.64,-827.648
260.104,569.008,-792.512,1.05,-0.91,-0.7,296.704,616.832,-827.648
259.616,568.52,-789.584,1.12,-0.63,-0.56,288.896,632.448,-812.032
257.664,565.592,-789.096,1.26,-0.63,-0.63,273.28,624.64,-827.648
256.688,564.128,-787.632,1.26,-0.42,-0.63,296.704,609.024,-812.032
255.712,562.176,-784.704,1.33,-0.35,-0.63,288.896,601.216,-812.032
254.248,562.664,-781.776,1.54,-0.21,-0.7,281.088,632.448,-827.648
254.736,563.64,-779.824,1.89,-0.07,-0.7,265.472,601.216,-804.224
251.32,566.568,-780.312,2.1,-0.14,-0.7,288.896,585.6,-796.416
251.808,569.008,-777.872,2.38,-0.21,-0.63,273.28,609.024,-796.416
251.808,569.496,-776.896,2.45,-0.07,-0.49,288.896,640.256,-804.224
252.296,572.912,-775.432,2.45,-0.14,-0.49,242.048,640.256,-804.224
252.296,576.816,-777.384,2.31,-0.07,-0.42,288.896,616.832,-819.84
252.296,581.696,-779.336,2.24,-0.07,-0.42,265.472,616.832,-812.032
255.224,583.648,-779.824,2.03,-0.07,-0.35,288.896,640.256,-804.224
257.176,585.6,-782.264,1.89,0.0,-0.28,273.28,632.448,-796.416
256.2,589.016,-782.752,1.54,0.14,-0.21,281.088,624.64,-819.84
257.664,590.968,-779.824,1.26,0.21,-0.28,281.088,648.064,-788.608
257.176,591.456,-778.36,0.91,0.35,-0.35,273.28,601.216,-827.648
257.176,592.92,-776.896,0.56,0.49,-0.35,296.704,632.448,-788.608
255.224,592.92,-772.016,0.35,0.42,-0.35,304.512,632.448,-827.648
255.712,593.896,-772.016,0.0,0.35,-0.35,273.28,640.256,-796.416
254.736,592.432,-770.552,-0.28,0.42,-0.21,296.704,632.448,-804.224
254.248,592.432,-770.552,-0.49,0.49,-0.14,273.28,655.872,-796.416
253.272,592.92,-771.528,-0.56,0.42,-0.07,281.088,655.872,-812.032
250.832,592.432,-772.992,-0.77,0.49,0.0,273.28,663.68,-796.416
248.392,592.432,-771.528,-0.91,0.49,0.14,265.472,648.064,-812.032
248.88,591.944,-772.016,-0.91,0.28,0.14,288.896,616.832,-804.224
248.88,591.456,-769.088,-1.12,0.28,0.21,281.088,687.104,-804.224
245.464,592.92,-766.16,-1.19,0.28,0.21,265.472,648.064,-804.224
243.512,591.456,-766.648,-1.47,0.14,0.35,304.512,624.64,-819.84
245.464,590.48,-765.184,-1.54,0.07,0.28,281.088,632.448,-788.608
