@relation 'MLC'

@attribute F1_MEAN_ACC_X numeric
@attribute F2_VARIANCE_ACC_X numeric
@attribute F3_ENERGY_ACC_X numeric
@attribute F4_PEAK_TO_PEAK_ACC_X numeric
@attribute F5_MINIMUM_ACC_X numeric
@attribute F6_MAXIMUM_ACC_X numeric
@attribute F7_MEAN_ACC_Y numeric
@attribute F8_MINIMUM_ACC_Y numeric
@attribute F9_MAXIMUM_ACC_Y numeric
@attribute F10_MEAN_ACC_Z numeric
@attribute F11_ENERGY_ACC_Z numeric
@attribute F12_MINIMUM_ACC_Z numeric
@attribute F13_MAXIMUM_ACC_Z numeric
@attribute F14_ABS_MEAN_ACC_V numeric
@attribute F15_ABS_MINIMUM_ACC_V numeric
@attribute class {stationary, walking, running, cycling}

@data
0.183228, 0.00750732, 2.875, 0.450928, -0.0897217, 0.361084, 0.76709, 0.523926, 0.93457, 0.592773, 25.1875, 0.35498, 0.825195, 0.998047, 0.861816, stationary
-0.118286, 0.00354004, 1.22754, 0.215942, -0.230957, -0.0150146, 0.901855, 0.669922, 1.13574, 0.38208, 11.6484, 0.0910645, 0.60498, 1.00195, 0.830566, stationary
-0.274902, 0.0142822, 6.28906, 0.530762, -0.484131, 0.0466309, 0.745117, 0.299805, 1.21973, 0.536133, 22.1719, 0.15918, 0.848633, 0.988281, 0.782227, stationary
-0.29541, 0.0446777, 9.24219, 0.783203, -0.679199, 0.104065, 0.919434, 0.750488, 1.16016, 0.210815, 4.80469, -0.0905762, 0.457764, 1.02148, 0.84082, stationary
-0.335449, 0.0345459, 10.2969, 0.655273, -0.519531, 0.135864, 0.921387, 0.621094, 1.30859, 0.159058, 2.54883, -0.046936, 0.35083, 1.01563, 0.708984, stationary
-0.202881, 0.0516663, 6.5, 0.552734, -0.487061, 0.0653076, 0.926758, 0.808105, 1.0332, -0.0424194, 4.03125, -0.363281, 0.266602, 1.00391, 0.932129, stationary
0.0427551, 6.48499e-05, 0.132568, 0.0441895, 0.0252686, 0.069458, 0.961426, 0.916016, 1.00098, -0.309814, 6.73047, -0.3396, -0.286133, 1.00586, 0.977051, stationary
0.0377808, 4.86374e-05, 0.103394, 0.0423584, 0.010437, 0.0527954, 0.960449, 0.941406, 0.975098, -0.307617, 6.66016, -0.340576, -0.2771, 1.00488, 0.990723, stationary
-0.245728, 0.0290222, 6.26172, 0.594238, -0.555664, 0.0383911, 0.947266, 0.773926, 1.33203, 0.0113525, 2.00391, -0.291992, 0.365234, 1.00586, 0.835449, stationary
-0.248169, 0.0067749, 4.78516, 0.332764, -0.322754, 0.0100708, 0.933594, 0.710449, 1.35449, 0.225708, 4.37109, 0.00915527, 0.336182, 1.00195, 0.745605, stationary
-0.321777, 0, 7.23047, 0.0195313, -0.330811, -0.311279, 0.878418, 0.864746, 0.890625, 0.347412, 8.42188, 0.322754, 0.368896, 1, 0.988281, stationary
-0.334961, 6.10352e-05, 7.85938, 0.0305176, -0.351318, -0.320801, 0.870117, 0.85498, 0.879883, 0.360352, 9.08594, 0.34082, 0.380127, 0.999023, 0.987793, stationary
-0.341553, 0, 8.13281, 0.015625, -0.347656, -0.332031, 0.861816, 0.851074, 0.868164, 0.371826, 9.65625, 0.359863, 0.386719, 0.999023, 0.988281, stationary
-0.346436, 0, 8.39844, 0.026123, -0.358887, -0.332764, 0.854004, 0.844727, 0.867188, 0.373535, 9.76563, 0.360352, 0.387695, 0.999023, 0.984863, stationary
-0.357422, 0.000854492, 9.00781, 0.0634766, -0.397705, -0.334229, 0.852539, 0.831055, 0.872559, 0.37207, 9.74219, 0.340576, 0.408691, 0.999023, 0.978027, stationary
-0.60498, 0.0395508, 28.3906, 0.790039, -0.978516, -0.188599, 0.707031, 0.161377, 1.08398, 0.178589, 5.31641, -0.229736, 0.696777, 1.00586, 0.76709, stationary
-0.208252, 0.113159, 10.9609, 0.978027, -0.76123, 0.216797, 0.839844, 0.559082, 1.22852, 0.415283, 12.5859, 0.242432, 0.623047, 1.02344, 0.813965, stationary
0.150269, 0.0160828, 2.70703, 0.540039, -0.0665283, 0.473145, 0.803711, 0.603027, 1.13867, 0.550781, 21.5938, 0.414795, 0.695313, 1.00195, 0.869629, stationary
