acc_x[g],acc_y[g],acc_z[g]
-0.294,0.059,0.925
-0.259,0,1.007
-0.296,0.064,0.914
-0.275,0.052,0.962
-0.295,0.058,0.937
-0.269,-0.005,0.965
-0.31,0.06,0.944
-0.281,0.071,0.928
-0.264,0.015,1.023
-0.275,0.075,0.942
-0.268,0.005,0.969
-0.313,0.052,0.917
-0.254,0.038,0.995
-0.279,0.088,0.968
-0.287,0.015,0.962
-0.296,0.005,0.934
-0.304,0.065,0.906
-0.279,0.052,0.978
-0.3,0.067,0.945
-0.253,-0.001,1.016
-0.288,0.063,0.927
-0.269,0.018,0.995
-0.287,0.083,0.943
-0.273,0.052,0.962
-0.266,-0.011,0.981
-0.307,0.07,0.896
-0.285,0.042,0.948
-0.293,0.061,0.939
-0.259,0.029,1.028
-0.307,0.055,0.916
-0.257,0.005,0.991
-0.284,0.066,0.951
-0.271,0.076,0.962
-0.267,0,0.973
-0.289,0.029,0.914
-0.279,0.029,0.969
-0.302,0.101,0.928
-0.273,0.014,1
-0.314,0.052,0.906
-0.262,0.023,0.983
-0.297,0.041,0.958
-0.271,0.073,0.966
-0.254,0.037,0.998
-0.276,0.039,0.96
-0.3,0.012,0.944
-0.305,0.091,0.901
-0.262,0.014,0.963
-0.289,0.05,0.946
-0.281,0.033,0.915
-0.315,0.029,0.937
-0.281,0.071,0.958
-0.264,0.045,0.985
-0.284,0.054,0.946
-0.263,-0.026,0.983
-0.307,0.083,0.909
-0.29,0.053,0.961
-0.301,0.047,0.929
-0.3,0.028,0.915
-0.297,0.02,0.944
-0.306,0.056,0.941
-0.268,0.049,1.005
-0.283,0.081,0.934
-0.233,-0.025,1.033
-0.306,0.063,0.924
-0.262,0.038,0.962
-0.288,0.06,0.935
-0.287,0.053,0.949
-0.308,0.024,0.906
-0.308,0.032,0.913
-0.285,0.034,0.964
-0.278,0.075,0.933
-0.249,0.002,1.011
-0.295,0.052,0.938
-0.27,0.022,0.984
-0.289,0.091,0.945
-0.296,0.045,0.942
-0.299,0.015,0.932
-0.3,0.047,0.933
-0.28,0.015,0.989
-0.294,0.08,0.893
-0.279,0.047,0.966
-0.313,0.025,0.922
-0.289,0.027,0.961
-0.29,0.076,0.948
-0.263,0.053,0.986
-0.267,0.023,0.99
-0.294,0.057,0.949
-0.286,-0.008,0.92
-0.295,0.044,0.98
-0.269,0.045,0.929
-0.3,0,0.969
-0.299,0.047,0.95
-0.27,0.09,0.961
-0.259,0.015,0.997
-0.299,0.055,0.902
-0.284,0.012,0.976
-0.307,0.066,0.925
-0.281,0.045,0.955
-0.298,0.071,0.906
-0.285,0.002,0.989
-0.315,0.031,0.944
-0.277,0.074,0.943
-0.248,0.02,1.024
-0.276,0.065,0.966
-0.263,0.009,0.981
-0.31,0.052,0.906
-0.277,0.033,0.99
-0.285,0.083,0.949
-0.28,0.027,0.955
-0.311,0,0.93
-0.308,0.063,0.916
-0.29,0.054,0.975
-0.292,0.059,0.954
-0.261,0.008,1.008
-0.289,0.064,0.949
-0.26,0.011,0.996
-0.283,0.08,0.941
-0.283,0.065,0.952
-0.286,-0.002,0.972
-0.314,0.05,0.918
-0.307,0.06,0.955
-0.287,0.058,0.944
-0.261,0.025,1.028
-0.303,0.07,0.919
-0.264,-0.005,0.996
-0.284,0.065,0.961
-0.263,0.07,0.976
-0.278,0.013,0.967
-0.309,0.032,0.909
-0.297,0.028,0.951
-0.302,0.105,0.939
-0.257,0.021,1.012
-0.307,0.047,0.894
-0.269,0.027,0.996
-0.293,0.045,0.955
-0.262,0.073,0.956
-0.269,0.045,0.987
-0.275,0.035,0.965
-0.292,0.015,0.948
-0.317,0.091,0.895
-0.279,0.026,0.989
-0.292,0.049,0.929
-0.291,0.042,0.937
-0.323,0.029,0.937
-0.283,0.07,0.973
-0.258,0.047,1.007
-0.273,0.05,0.952
-0.271,-0.02,0.992
-0.312,0.086,0.901
-0.278,0.062,0.965
-0.303,0.045,0.917
-0.294,0.028,0.933
-0.31,0.035,0.931
-0.297,0.061,0.948
-0.272,0.054,0.973
-0.29,0.079,0.932
-0.26,-0.01,1.023
-0.315,0.067,0.9
-0.281,0.038,0.954
-0.285,0.063,0.965
-0.275,0.043,0.973
-0.299,0.039,0.935
-0.306,0.03,0.923
-0.283,0.048,0.979
-0.287,0.081,0.927
-0.252,0.006,1.032
-0.286,0.044,0.937
-0.263,0.025,0.992
-0.283,0.093,0.964
-0.274,0.034,0.978
-0.288,0.015,0.959
-0.286,0.047,0.939
-0.277,0.027,0.969
-0.296,0.089,0.922
-0.271,0.043,0.989
-0.301,0.023,0.93
-0.282,0.041,0.988
-0.28,0.073,0.948
-0.266,0.051,0.995
-0.272,0.026,0.99
-0.3,0.063,0.896
-0.3,-0.001,0.971
