acc_x[g],acc_y[g],acc_z[g]
-0.241,-0.001,0.983
-0.224,0.004,1.055
-0.304,0.042,0.936
-0.329,0.099,0.905
-0.275,0.047,0.914
-0.249,-0.004,1.057
-0.265,0.057,1.016
-0.307,0.076,0.948
-0.289,0.051,0.852
-0.274,0,0.982
-0.286,0.053,1.014
-0.264,0.08,1.03
-0.27,0.052,0.916
-0.225,-0.001,0.985
-0.305,0.039,0.944
-0.332,0.091,0.922
-0.297,0.063,1.011
-0.197,0.04,1.019
-0.265,0.06,0.921
-0.322,0.084,0.878
-0.263,0.039,0.973
-0.233,0.003,1.053
-0.284,0.054,0.974
-0.354,0.089,0.873
-0.297,0.036,0.898
-0.233,0.004,1.04
-0.262,0.05,1.014
-0.305,0.062,0.967
-0.289,0.046,0.859
-0.252,0.001,0.971
-0.295,0.059,1.003
-0.285,0.061,1.021
-0.26,0.051,0.923
-0.236,-0.002,0.962
-0.302,0.044,0.952
-0.33,0.076,0.936
-0.314,0.082,0.929
-0.212,0.022,1.027
-0.234,0,1.017
-0.325,0.065,0.912
-0.336,0.084,0.907
-0.238,0.018,0.951
-0.235,0.025,1.048
-0.289,0.017,0.964
-0.333,0.074,0.91
-0.274,0.066,0.891
-0.249,0.005,1.055
-0.262,0.033,1.01
-0.299,0.057,0.961
-0.291,0.065,0.861
-0.249,0.022,0.979
-0.292,0.045,0.986
-0.298,0.05,1.027
-0.272,0.072,0.921
-0.214,0.022,0.99
-0.313,0.026,0.923
-0.357,0.052,0.922
-0.3,0.092,0.951
-0.205,0.025,1.028
-0.224,0.021,1.073
-0.321,0.027,0.915
-0.341,0.092,0.872
-0.263,0.059,0.967
-0.225,-0.017,1.065
-0.283,0.049,0.995
-0.337,0.074,0.901
-0.266,0.063,0.889
-0.247,0.019,1.006
-0.291,0.02,1.024
-0.302,0.063,0.969
-0.27,0.087,0.876
-0.261,0.006,0.986
-0.288,0.011,0.988
-0.293,0.076,1.008
-0.283,0.071,0.921
-0.214,0.022,1.005
-0.276,0.006,0.965
-0.324,0.054,0.952
-0.319,0.118,0.908
-0.21,0.021,1.013
-0.248,-0.007,1.015
-0.316,0.035,0.924
-0.328,0.107,0.885
-0.278,0.059,0.905
-0.248,0,1.076
-0.278,0.004,0.993
-0.298,0.101,0.934
-0.275,0.086,0.89
-0.25,-0.025,1.019
-0.284,0.022,0.995
-0.309,0.07,0.98
-0.283,0.088,0.875
-0.243,0.004,0.982
-0.314,0.011,0.967
-0.305,0.063,0.982
-0.272,0.109,0.94
-0.221,0.006,1.006
-0.272,0.004,0.981
-0.328,0.051,0.913
-0.327,0.11,0.907
-0.254,0.038,0.978
-0.231,-0.017,1.071
-0.308,0.029,0.924
-0.345,0.121,0.866
-0.267,0.053,0.927
-0.249,-0.019,1.057
-0.264,0.052,1.034
-0.281,0.077,0.968
-0.286,0.086,0.856
-0.256,-0.021,1.028
-0.276,0.015,1.015
-0.29,0.101,0.96
-0.308,0.085,0.878
-0.264,-0.016,0.953
-0.287,0.012,0.985
-0.32,0.079,0.974
-0.289,0.083,0.917
-0.216,0.006,0.996
-0.269,-0.011,0.988
-0.303,0.071,0.926
-0.321,0.121,0.998
-0.246,0.003,1.064
-0.235,0.038,0.999
-0.321,0.107,0.888
-0.314,0.056,0.87
-0.261,-0.021,1.065
-0.254,0.042,1.033
-0.278,0.093,0.975
-0.278,0.059,0.868
-0.276,-0.03,0.935
-0.333,0.041,0.949
-0.303,0.073,0.983
-0.284,0.081,0.878
-0.221,-0.012,1.039
-0.29,0.016,0.971
-0.313,0.084,0.958
-0.312,0.101,0.931
-0.235,0.002,0.989
-0.227,0.015,1.048
-0.308,0.054,0.937
-0.333,0.102,0.897
-0.259,0.031,0.961
-0.234,-0.002,1.058
-0.279,0.052,0.965
-0.328,0.073,0.894
-0.286,0.036,0.879
-0.272,-0.001,1.013
-0.272,0.057,1.036
-0.288,0.066,0.957
-0.289,0.044,0.861
-0.256,0,0.998
-0.301,0.051,0.966
-0.323,0.092,0.976
-0.306,0.063,0.913
-0.214,-0.02,0.994
-0.264,0.038,1.009
-0.324,0.079,0.955
-0.321,0.073,0.893
-0.227,0.023,1.007
-0.245,0.006,1.003
-0.301,0.042,0.945
-0.344,0.082,0.865
-0.277,0.038,0.935
