acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],acc_h_x[mg],acc_h_y[mg],acc_h_z[mg]
509.960,652.456,533.384,616.832,687.104,484.096
509.960,652.456,529.480,601.216,671.488,484.096
507.032,650.992,528.016,601.216,718.336,491.904
507.032,650.504,527.040,624.640,694.912,468.480
507.032,648.064,524.600,632.448,671.488,484.096
508.008,648.064,523.136,585.600,687.104,491.904
507.032,647.088,517.280,601.216,655.872,476.288
507.520,645.624,516.792,616.832,702.720,484.096
506.056,644.160,519.232,593.408,655.872,491.904
505.568,644.160,514.840,648.064,671.488,452.864
503.616,640.744,512.400,585.600,679.296,484.096
503.616,640.256,513.864,562.176,694.912,460.672
503.128,638.304,515.816,601.216,679.296,468.480
501.664,636.840,512.400,577.792,718.336,476.288
503.128,634.888,510.936,616.832,679.296,452.864
502.640,634.400,510.448,577.792,679.296,445.056
502.152,635.864,507.520,624.640,687.104,460.672
502.640,634.888,506.544,577.792,694.912,491.904
503.128,635.864,508.008,577.792,687.104,429.440
500.688,634.888,503.128,577.792,671.488,437.248
499.712,634.888,501.176,577.792,702.720,460.672
500.200,635.864,501.176,601.216,655.872,429.440
498.736,636.352,499.712,593.408,679.296,437.248
498.736,636.840,497.272,601.216,679.296,445.056
498.248,634.400,495.320,569.984,687.104,437.248
496.296,635.376,492.880,624.640,663.680,421.632
496.296,630.496,491.416,577.792,671.488,413.824
495.320,631.960,489.464,601.216,687.104,452.864
497.272,629.032,486.048,601.216,671.488,452.864
492.880,627.568,484.096,562.176,640.256,421.632
494.344,625.616,480.680,585.600,663.680,437.248
494.832,623.176,476.776,601.216,655.872,413.824
496.296,623.664,474.336,585.600,655.872,452.864
496.296,621.224,470.920,593.408,679.296,398.208
496.784,620.736,469.456,609.024,663.680,421.632
498.736,619.272,465.552,593.408,671.488,413.824
499.712,619.760,462.136,546.560,687.104,413.824
503.616,619.760,458.720,616.832,632.448,429.440
503.128,618.296,454.816,593.408,640.256,366.976
503.616,616.832,448.960,601.216,648.064,406.016
502.640,617.808,447.984,601.216,640.256,390.400
502.152,617.320,447.496,624.640,663.680,421.632
499.224,616.344,444.080,632.448,679.296,382.592
497.272,620.248,441.640,609.024,655.872,406.016
